TOKEN,NE-COARSE-LIT,NE-COARSE-METO,NE-FINE-LIT,NE-FINE-METO,NE-FINE-COMP,NE-NESTED,NEL-LIT,NEL-METO,MISC
duel,I-PER,_,O,_,_,O,_,_,_
entre,I-PER,_,O,_,_,O,_,_,_
la,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
Russie,I-PER,_,O,_,_,O,Q159,_,_
et,O,_,O,_,_,O,_,_,_
la,I-PER,_,O,_,_,O,_,_,_
Turquie,I-PER,_,O,_,_,O,Q43,_,NoSpaceAfter
;,I-ORG,_,O,_,_,O,_,_,_
nous,O,_,O,_,_,O,_,_,_
disons,O,_,O,_,_,O,_,_,_
à,I-PER,_,O,_,_,O,_,_,_
es¬,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
pérer,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
;,B-HumanProd,_,O,_,_,O,_,_,_
nous,B-ORG,_,O,_,_,O,_,_,_
ne,B-ORG,_,O,_,_,O,_,_,_
saurions,I-PER,_,O,_,_,O,_,_,_
affirmer,B-ORG,_,O,_,_,O,_,_,_
qu,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
il,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
en,I-ORG,_,O,_,_,O,_,_,_
sera,O,_,O,_,_,O,_,_,_
ainsi,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
;,I-ORG,_,O,_,_,O,_,_,_
au,I-PER,_,O,_,_,O,_,_,_
début,I-PER,_,O,_,_,O,_,_,_
peut,O,_,O,_,_,O,_,_,NoSpaceAfter
-,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
être,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
;,I-PER,_,O,_,_,O,_,_,_
mais,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
quand,I-PER,_,O,_,_,O,_,_,_
les,O,_,O,_,_,O,_,_,_
belligérants,I-PER,_,O,_,_,O,_,_,_
seront,B-ORG,_,O,_,_,O,_,_,_
bien,I-ORG,_,O,_,_,O,_,_,_
enga¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
gés,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
fort,B-ORG,_,O,_,_,O,_,_,_
habile,I-PER,_,O,_,_,O,_,_,_
serait,I-PER,_,O,_,_,O,_,_,_
celui,I-ORG,_,O,_,_,O,_,_,_
qui,I-PER,_,O,_,_,O,_,_,_
pourrait,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
deviner,I-PER,_,O,_,_,O,_,_,_
et,I-PER,_,O,_,_,O,_,_,_
prédire,I-PER,_,O,_,_,O,_,_,_
ce,I-PER,_,O,_,_,O,_,_,_
qu,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
il,B-ORG,_,O,_,_,O,_,_,_
adviendra,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
En,B-ORG,_,O,_,_,O,_,_,_
tout,I-ORG,_,O,_,_,O,_,_,_
cas,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
même,O,_,O,_,_,O,_,_,_
si,O,_,O,_,_,O,_,_,_
la,B-ORG,_,O,_,_,O,_,_,_
guerre,O,_,O,_,_,O,_,_,_
est,O,_,O,_,_,O,_,_,_
li¬,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
mitée,O,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
M,I-PER,_,O,_,_,O,Q8442,_,NoSpaceAfter
.,I-ORG,_,O,_,_,O,Q8442,_,_
de,I-PER,_,O,_,_,O,Q8442,_,_
Bismarck,O,_,O,_,_,O,Q8442,_,_
aura,O,_,O,_,_,O,_,_,_
atteint,O,_,O,_,_,O,_,_,_
son,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
but,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Il,O,_,O,_,_,O,_,_,_
sait,O,_,O,_,_,O,_,_,_
bien,I-PER,_,O,_,_,O,_,_,_
que,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-ORG,_,O,_,_,O,_,_,_
quoi,O,_,O,_,_,O,_,_,_
qu,O,_,O,_,_,O,_,_,NoSpaceAfter
',B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
il,O,_,O,_,_,O,_,_,_
advienne,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,NoSpaceAfter
la,O,_,O,_,_,O,_,_,_
Russie,B-HumanProd,_,O,_,_,O,Q159,_,_
sortira,I-PER,_,O,_,_,O,_,_,_
de,O,_,O,_,_,O,_,_,_
cette,I-PER,_,O,_,_,O,_,_,_
lutte,I-PER,_,O,_,_,O,_,_,_
amoin¬,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
drie,I-PER,_,O,_,_,O,_,_,_
ou,I-PER,_,O,_,_,O,_,_,_
affaiblie,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
ce,B-ORG,_,O,_,_,O,_,_,_
qui,O,_,O,_,_,O,_,_,_
est,I-PER,_,O,_,_,O,_,_,_
tout,B-ORG,_,O,_,_,O,_,_,_
comme,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Victorieuse,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
elle,I-PER,_,O,_,_,O,_,_,_
ne,B-ORG,_,O,_,_,O,_,_,_
pourra,I-LOC,_,O,_,_,O,_,_,_
pousser,O,_,O,_,_,O,_,_,_
à,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
fond,O,_,O,_,_,O,_,_,_
ses,I-ORG,_,O,_,_,O,_,_,_
avantages,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
;,B-HumanProd,_,O,_,_,O,_,_,_
l,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
Angleterre,O,_,O,_,_,O,Q21,_,_
inter¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
viendrait,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
peut,O,_,O,_,_,O,_,_,NoSpaceAfter
-,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
être,O,_,O,_,_,O,_,_,_
l,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
Autriche,I-PER,_,O,_,_,O,Q40,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
pour,B-HumanProd,_,O,_,_,O,_,_,_
em¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
pêcher,I-PER,_,O,_,_,O,_,_,_
la,O,_,O,_,_,O,_,_,_
dislocation,O,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
l,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
empire,I-PER,_,O,_,_,O,_,_,_
otto¬,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
man,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Vaincue,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
son,B-PER,_,O,_,_,O,_,_,_
prestige,O,_,O,_,_,O,_,_,_
serait,B-ORG,_,O,_,_,O,_,_,_
ef¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
facé,O,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
De,B-ORG,_,O,_,_,O,_,_,_
toutes,I-PER,_,O,_,_,O,_,_,_
façons,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
soit,B-ORG,_,O,_,_,O,_,_,_
pendant,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
soit,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
Voilà,O,_,O,_,_,O,_,_,_
comment,I-PER,_,O,_,_,O,_,_,_
sont,O,_,O,_,_,O,_,_,_
appréciés,O,_,O,_,_,O,_,_,_
les,O,_,O,_,_,O,_,_,_
gens,O,_,O,_,_,O,_,_,NoSpaceAfter
qui,O,_,O,_,_,O,_,_,_
pensent,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
dans,I-PER,_,O,_,_,O,_,_,_
un,B-HumanProd,_,O,_,_,O,_,_,_
pays,I-PER,_,O,_,_,O,_,_,_
qui,O,_,O,_,_,O,_,_,_
se,O,_,O,_,_,O,_,_,_
vante,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
aimer,O,_,O,_,_,O,_,_,_
la,B-ORG,_,O,_,_,O,_,_,_
pensée,O,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Il,I-PER,_,O,_,_,O,_,_,_
y,O,_,O,_,_,O,_,_,_
aurait,O,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
quoi,I-PER,_,O,_,_,O,_,_,_
s,O,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
en,O,_,O,_,_,O,_,_,NoSpaceAfter
irriter,O,_,O,_,_,O,_,_,_
un,O,_,O,_,_,O,_,_,_
peu,I-PER,_,O,_,_,O,_,_,_
si,I-PER,_,O,_,_,O,_,_,_
l,O,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
on,I-PER,_,O,_,_,O,_,_,_
ne,I-PER,_,O,_,_,O,_,_,_
puisait,B-ORG,_,O,_,_,O,_,_,_
pas,O,_,O,_,_,O,_,_,_
dans,O,_,O,_,_,O,_,_,NoSpaceAfter
ce,B-HumanProd,_,O,_,_,O,_,_,_
spectacle,I-PER,_,O,_,_,O,_,_,_
un,I-HumanProd,_,O,_,_,O,_,_,_
certain,O,_,O,_,_,O,_,_,_
sentiment,I-PER,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
ironie,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
qui,I-PER,_,O,_,_,O,_,_,_
console,O,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
plus,I-PER,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
un,B-ORG,_,O,_,_,O,_,_,_
déboire,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,_
Je,I-PER,_,O,_,_,O,_,_,_
lisais,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
hier,O,_,O,_,_,O,_,_,_
la,B-HumanProd,_,O,_,_,O,_,_,_
préface,O,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
un,I-PER,_,O,_,_,O,_,_,_
livre,O,_,O,_,_,O,_,_,_
tout,I-PER,_,O,_,_,O,_,_,_
à,I-PER,_,O,_,_,O,_,_,_
fait,I-PER,_,O,_,_,O,_,_,_
remar¬,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
quable,O,_,O,_,_,O,_,_,_
(,O,_,O,_,_,O,_,_,NoSpaceAfter
dont,O,_,O,_,_,O,_,_,_
la,B-ORG,_,O,_,_,O,_,_,_
critique,I-PER,_,O,_,_,O,_,_,_
parlera,B-ORG,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
ailleurs,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
beaucoup,B-HumanProd,_,O,_,_,O,_,_,_
moins,I-PER,_,O,_,_,O,_,_,_
que,B-ORG,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
un,B-HumanProd,_,O,_,_,O,_,_,_
vaudeville,B-ORG,_,O,_,_,O,_,_,_
des,O,_,O,_,_,O,_,_,NoSpaceAfter
Folies,I-PER,_,O,_,_,O,Q7799924,_,NoSpaceAfter
-,B-ORG,_,O,_,_,O,Q7799924,_,NoSpaceAfter
Marigny,B-ORG,_,O,_,_,O,Q7799924,_,NoSpaceAfter
),B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
un,I-PER,_,O,_,_,O,_,_,_
volume,I-PER,_,O,_,_,O,_,_,_
de,B-ORG,_,O,_,_,O,_,_,_
mélanges,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,NoSpaceAfter
Littérature,B-ORG,_,O,_,_,O,_,_,_
et,B-ORG,_,O,_,_,O,_,_,_
Histoire,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
par,I-PER,_,O,_,_,O,_,_,_
M,I-PER,_,O,_,_,O,Q286107,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,Q286107,_,_
E,I-PER,_,O,_,_,O,Q286107,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,Q286107,_,_
Littré,B-ORG,_,O,_,_,O,Q286107,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Le,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
savant,O,_,O,_,_,O,_,_,_
homme,I-PER,_,O,_,_,O,_,_,_
y,O,_,O,_,_,O,_,_,_
parle,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
dans,I-PER,_,O,_,_,O,_,_,_
une,I-PER,_,O,_,_,O,_,_,_
préface,O,_,O,_,_,O,_,_,NoSpaceAfter
très,I-PER,_,O,_,_,O,_,_,_
courte,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
de,O,_,O,_,_,O,_,_,_
sa,O,_,O,_,_,O,_,_,_
vie,O,_,O,_,_,O,_,_,_
et,I-PER,_,O,_,_,O,_,_,_
de,O,_,O,_,_,O,_,_,_
ses,O,_,O,_,_,O,_,_,_
travaux,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,NoSpaceAfter
qu,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
il,O,_,O,_,_,O,_,_,_
déclare,O,_,O,_,_,O,_,_,_
désormais,I-PER,_,O,_,_,O,_,_,_
achevés,O,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
quoiqu,O,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
en,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
réalité,O,_,O,_,_,O,_,_,_
et,O,_,O,_,_,O,_,_,_
heureusement,O,_,O,_,_,O,_,_,_
il,O,_,O,_,_,O,_,_,_
travaille,B-ORG,_,O,_,_,O,_,_,_
tou¬,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
jours,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
«,I-PER,_,O,_,_,O,_,_,_
Bien,I-PER,_,O,_,_,O,_,_,_
que,I-PER,_,O,_,_,O,_,_,_
toute,I-PER,_,O,_,_,O,_,_,_
ma,O,_,O,_,_,O,_,_,_
vie,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
dit,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
-,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
il,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
je,I-PER,_,O,_,_,O,_,_,_
me,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
»,B-ORG,_,O,_,_,O,_,_,_
sois,I-PER,_,O,_,_,O,_,_,_
occupé,I-PER,_,O,_,_,O,_,_,_
d,O,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
objets,B-ORG,_,O,_,_,O,_,_,_
scientifiques,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
je,I-PER,_,O,_,_,O,_,_,_
n,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
ai,O,_,O,_,_,O,_,_,NoSpaceAfter
»,I-PER,_,O,_,_,O,_,_,_
jamais,O,_,O,_,_,O,_,_,_
été,O,_,O,_,_,O,_,_,_
appelé,O,_,O,_,_,O,_,_,_
à,O,_,O,_,_,O,_,_,_
aucune,I-PER,_,O,_,_,O,_,_,_
chaire,O,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Quel¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
»,I-ORG,_,O,_,_,O,_,_,_
quefois,I-ORG,_,O,_,_,O,_,_,_
je,I-PER,_,O,_,_,O,_,_,_
reçois,B-HumanProd,_,O,_,_,O,_,_,_
de,B-ORG,_,O,_,_,O,_,_,_
pays,I-ORG,_,O,_,_,O,_,_,_
étrangers,O,_,O,_,_,O,_,_,_
des,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
»,I-PER,_,O,_,_,O,_,_,_
lettres,O,_,O,_,_,O,_,_,_
qui,I-PER,_,O,_,_,O,_,_,_
portent,I-PER,_,O,_,_,O,_,_,_
en,B-HumanProd,_,O,_,_,O,_,_,_
suscription,I-PER,_,O,_,_,O,_,_,_
:,I-PER,_,O,_,_,O,_,_,_
Mon¬,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
»,I-PER,_,O,_,_,O,_,_,_
sieur,O,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,_
professeur,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
;,B-HumanProd,_,O,_,_,O,_,_,_
mais,I-PER,_,O,_,_,O,_,_,_
c,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
est,I-PER,_,O,_,_,O,_,_,_
une,I-PER,_,O,_,_,O,_,_,_
sim¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
»,I-PER,_,O,_,_,O,_,_,_
ple,B-ORG,_,O,_,_,O,_,_,_
courtoisie,I-PER,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
mes,I-PER,_,O,_,_,O,_,_,_
correspondants,O,_,O,_,_,O,_,_,NoSpaceAfter
»,O,_,O,_,_,O,_,_,_
qui,I-PER,_,O,_,_,O,_,_,_
ne,B-HumanProd,_,O,_,_,O,_,_,_
répond,O,_,O,_,_,O,_,_,_
à,O,_,O,_,_,O,_,_,_
aucune,O,_,O,_,_,O,_,_,_
réalité,O,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,_
Je,O,_,O,_,_,O,_,_,_
n,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
ex¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
»,I-PER,_,O,_,_,O,_,_,_
prime,I-ORG,_,O,_,_,O,_,_,_
point,O,_,O,_,_,O,_,_,_
un,O,_,O,_,_,O,_,_,_
regret,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
j,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
énonce,I-PER,_,O,_,_,O,_,_,_
un,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
»,O,_,O,_,_,O,_,_,_
fait,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,_
»,O,_,O,_,_,O,_,_,NoSpaceAfter
Ne,B-HumanProd,_,O,_,_,O,_,_,_
suffit,O,_,O,_,_,O,_,_,NoSpaceAfter
-,O,_,O,_,_,O,_,_,NoSpaceAfter
il,O,_,O,_,_,O,_,_,_
pas,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
au,I-PER,_,O,_,_,O,_,_,_
surplus,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
énoncer,B-ORG,_,O,_,_,O,_,_,_
ce,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
fait,B-HumanProd,_,O,_,_,O,_,_,_
nour,O,_,O,_,_,O,_,_,_
montrer,B-HumanProd,_,O,_,_,O,_,_,_
combien,I-PER,_,O,_,_,O,_,_,_
peu,B-HumanProd,_,O,_,_,O,_,_,_
le,B-ORG,_,O,_,_,O,_,_,_
mérité,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
fait,B-ORG,_,O,_,_,O,_,_,_
pour,B-ORG,_,O,_,_,O,_,_,_
montrer,B-ORG,_,O,_,_,O,_,_,_
combien,I-PER,_,O,_,_,O,_,_,_
peu,O,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,_
mérite,O,_,O,_,_,O,_,_,NoSpaceAfter
est,B-HumanProd,_,O,_,_,O,_,_,_
recherché,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-ORG,_,O,_,_,O,_,_,_
accueilli,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
récompensé,I-PER,_,O,_,_,O,_,_,_
?,O,_,O,_,_,O,_,_,_
M,I-PER,_,O,_,_,O,Q295090,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,Q295090,_,NoSpaceAfter
Gambetta,I-PER,_,O,_,_,O,Q295090,_,_
eut,I-PER,_,O,_,_,O,_,_,_
pourtant,O,_,O,_,_,O,_,_,_
l,O,_,O,_,_,O,_,_,NoSpaceAfter
',I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
idée,I-LOC,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
créer,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
à,I-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
Bordeaux,O,_,O,_,_,O,Q1479,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
en,I-PER,_,O,_,_,O,_,_,_
1871,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
une,I-PER,_,O,_,_,O,_,_,_
chaire,B-HumanProd,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
histoire,I-PER,_,O,_,_,O,_,_,_
à,O,_,O,_,_,O,_,_,NoSpaceAfter
l,O,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
Ecole,I-PER,_,O,_,_,O,Q273626,_,_
polytechnique,O,_,O,_,_,O,Q273626,_,_
pour,I-PER,_,O,_,_,O,_,_,_
M,I-PER,_,O,_,_,O,Q286107,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,Q286107,_,_
Emile,I-PER,_,O,_,_,O,Q286107,_,_
Littré,I-PER,_,O,_,_,O,Q286107,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,NoSpaceAfter
mais,I-PER,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,_
savant,B-ORG,_,O,_,_,O,_,_,_
n,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
y,I-PER,_,O,_,_,O,_,_,_
fit,I-PER,_,O,_,_,O,_,_,_
qu,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
une,I-PER,_,O,_,_,O,_,_,_
leçon,O,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,_
Il,O,_,O,_,_,O,_,_,_
était,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
un,I-PER,_,O,_,_,O,_,_,_
peu,I-PER,_,O,_,_,O,_,_,_
tard,B-HumanProd,_,O,_,_,O,_,_,_
;,I-PER,_,O,_,_,O,_,_,_
il,O,_,O,_,_,O,_,_,_
était,I-PER,_,O,_,_,O,_,_,_
vieux,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Si,I-PER,_,O,_,_,O,_,_,_
je,I-PER,_,O,_,_,O,_,_,_
parle,I-PER,_,O,_,_,O,_,_,_
ici,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
de,I-PER,_,O,_,_,O,_,_,_
M,O,_,O,_,_,O,Q286107,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,Q286107,_,_
Littré,O,_,O,_,_,O,Q286107,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
c,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
est,I-PER,_,O,_,_,O,_,_,_
simplement,I-ORG,_,O,_,_,O,_,_,_
pour,I-PER,_,O,_,_,O,_,_,_
citer,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
un,B-ORG,_,O,_,_,O,_,_,_
exemple,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
mais,I-PER,_,O,_,_,O,_,_,_
du,I-PER,_,O,_,_,O,_,_,_
moins,I-PER,_,O,_,_,O,_,_,_
un,I-PER,_,O,_,_,O,_,_,_
exemple,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
frappant,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Nous,O,_,O,_,_,O,_,_,_
public,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
n,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
aimons,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
que,O,_,O,_,_,O,_,_,_
ce,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
qui,I-PER,_,O,_,_,O,_,_,_
nous,I-PER,_,O,_,_,O,_,_,_
amuse,I-PER,_,O,_,_,O,_,_,_
